,From,To,Weight
164,5899,8443,1
165,5899,1928,1
166,5899,8800,1
167,5899,10150,0
168,5899,10619,0
169,5899,8362,0
170,5899,4637,0
171,5899,9972,1
172,5899,8931,0
173,5899,2008,0
174,5899,3139,0
175,5899,7922,0
176,5899,1204,0
177,5899,6810,0
178,5899,5386,0
179,5899,3202,0
180,5899,6387,1
181,5899,10489,0
182,5899,2611,0
183,5899,5407,1
184,5899,5718,0
185,5899,4580,1
186,5899,8545,0
187,5899,7378,1
188,5899,8492,0
189,5899,1212,1
190,5899,10473,0
191,5899,7962,0
192,5899,9984,1
193,5899,7453,1
194,5899,241,0
195,5899,8975,1
196,5899,5236,0
197,5899,7010,0
198,5899,3706,1
199,5899,5204,0
200,5899,1020,0
201,5899,6019,1
202,5899,3717,1
203,5899,4998,0
204,5899,966,0
205,5899,4767,0
206,5899,9725,1
207,5899,4491,0
208,5899,3759,1
209,5899,2055,1
210,5899,3005,1
211,5899,6421,0
212,5899,4207,1
213,5899,6072,0
214,5899,1509,0
215,5899,1127,0
216,5899,5538,1
217,5899,146,0
218,5899,4741,0
219,5899,1524,0
220,5899,7451,0
221,5899,4356,0
222,5899,3885,1
223,5899,1175,1
224,5899,3412,0
225,5899,2975,0
226,5899,2894,0
227,5899,749,1
228,5899,10525,1
229,5899,5031,0
230,5899,6218,0
231,5899,193,1
232,5899,10660,0
233,5899,5735,0
234,5899,1829,0
235,5899,9855,0
236,5899,8732,0
237,5899,6606,0
238,5899,234,1
239,5899,1118,1
240,5899,7789,0
241,5899,8955,1
242,5899,5644,0
243,5899,2324,1
244,5899,697,0
245,5899,1627,0
246,5899,938,1
247,5899,4058,0
248,5899,7736,1
249,5899,9757,0
250,5899,4138,1
251,5899,10833,0
252,5899,9606,0
253,5899,8534,0
254,5899,5153,1
255,5899,5493,1
256,5899,2147,0
257,5899,5107,1
258,5899,3979,0
259,5899,6049,1
260,5899,3910,1
261,5899,1740,0
262,5899,195,1
263,5899,10319,0
264,5899,2296,1
265,5899,2931,0
266,5899,3698,0
267,5899,9516,0
268,5899,339,0
269,5899,9010,1
270,5899,5543,0
271,5899,1577,0
272,5899,6024,0
273,5899,6055,0
274,5899,4394,0
275,5899,5758,1
276,5899,9206,0
277,5899,10971,1
278,5899,158,1
279,5899,1945,0
280,5899,2535,0
281,5899,9386,0
282,5899,873,0
283,5899,7793,0
284,5899,2407,0
285,5899,7912,1
286,5899,1384,1
287,5899,10507,0
288,5899,5675,0
289,5899,6770,1
290,5899,8773,0
291,5899,10909,1
292,5899,9121,0
293,5899,4310,0
294,5899,2561,0
295,5899,9349,0
296,5899,922,1
297,5899,4530,0
298,5899,1553,0
299,5899,5221,1
300,5899,10133,0
301,5899,8233,0
302,5899,2945,1
303,5899,7521,0
304,5899,4070,0
305,5899,9559,1
306,5899,5529,0
307,5899,9743,0
308,5899,1763,1
309,5899,2072,1
310,5899,3584,1
311,5899,3643,0
312,5899,7706,1
313,5899,830,0
314,5899,6050,1
315,5899,125,0
316,5899,1079,0
317,5899,7321,0
318,5899,955,1
319,5899,7476,0
320,5899,4261,0
321,5899,5350,0
322,5899,9298,0
323,5899,1626,1
324,5899,2612,0
325,5899,10069,1
326,5899,3409,1
327,5899,5453,0
328,5899,2565,0
329,5899,4656,1
330,5899,9242,1
331,5899,8286,0
332,5899,1665,1
333,5899,7005,0
334,5899,2781,0
335,5899,4127,1
336,5899,8143,0
337,5899,3690,0
338,5899,3433,0
339,5899,1215,0
340,5899,2570,0
341,5899,10742,0
342,5899,1351,0
343,5899,477,1
344,5899,7832,1
345,5899,7396,0
346,5899,3498,1
347,5899,1172,0
348,5899,569,0
349,5899,4686,0
350,5899,4351,1
351,5899,10129,0
352,5899,5796,0
353,5899,10556,0
354,5899,48,0
355,5899,737,0
356,5899,3571,0
357,5899,5092,0
358,5899,5534,1
359,5899,7960,0
360,5899,9905,1
361,5899,8439,0
362,5899,6977,0
363,5899,8397,1
364,5899,1990,1
365,5899,8093,0
366,5899,10513,0
367,5899,5782,0
368,5899,2415,0
369,5899,332,0
370,5899,6906,0
371,5899,7872,1
372,5899,4427,1
373,5899,2886,0
374,5899,9064,0
375,5899,3678,0
376,5899,2186,0
377,5899,1399,0
378,5899,8341,1
379,5899,6461,0
380,5899,5113,1
381,5899,2961,1
382,5899,3010,1
383,5899,6892,0
384,5899,8462,1
385,5899,5558,0
386,5899,10951,0
387,5899,5623,1
388,5899,5544,0
389,5899,5831,0
390,5899,10176,0
391,5899,3138,0
392,5899,4994,0
393,5899,10872,0
394,5899,1139,1
395,5899,10448,1
396,5899,2109,0
397,5899,3009,0
398,5899,8537,0
399,5899,4331,0
400,5899,6281,1
401,5899,4338,1
402,5899,10913,1
403,5899,3334,0
404,5899,10949,0
405,5899,6248,0
406,5899,10164,0
407,5899,6815,1
408,5899,4122,0
409,5899,5370,1
410,5899,405,1
411,5899,500,0
412,5899,9323,1
413,5899,3945,1
414,5899,983,1
415,5899,5628,1
416,5899,10701,0
417,5899,4426,0
418,5899,6343,0
419,5899,7734,0
420,5899,1146,1
421,5899,1103,1
422,5899,3422,0
423,5899,2909,0
424,5899,340,1
425,5899,3104,0
426,5899,1008,1
427,5899,2115,0
428,5899,2088,0
429,5899,6292,0
430,5899,3919,0
431,5899,271,1
432,5899,5136,0
433,5899,9790,0
434,5899,7233,0
435,5899,7699,1
436,5899,5186,0
437,5899,7313,0
438,5899,3520,1
439,5899,10394,1
440,5899,9362,0
441,5899,3968,0
442,5899,2829,0
443,5899,1772,0
444,5899,4377,1
445,5899,8858,0
446,5899,9723,0
447,5899,2666,0
448,5899,5721,0
449,5899,8722,1
450,5899,7118,1
451,5899,10722,1
452,5899,2632,1
453,5899,4333,0
454,5899,7366,0
455,5899,4286,1
456,5899,7004,1
457,5899,4001,0
458,5899,7270,0
459,2114,5899,0
460,2114,2114,2
461,2114,6565,1
462,2114,1993,0
463,2114,1966,1
464,2114,5710,0
465,2114,2968,0
466,2114,2225,1
467,2114,6260,1
468,2114,6853,1
469,2114,9369,1
470,2114,8132,0
471,2114,7503,0
472,2114,1618,0
473,2114,273,0
474,2114,4452,1
475,2114,8504,1
476,2114,7247,0
477,2114,4646,1
478,2114,7431,0
479,2114,3267,0
480,2114,999,1
481,2114,1592,2
482,2114,7215,2
483,2114,1685,0
484,2114,7660,0
485,2114,7987,0
486,2114,10240,1
487,2114,10573,0
488,2114,3712,0
489,2114,641,0
490,2114,10314,1
491,2114,6935,1
492,2114,9733,0
493,2114,9938,1
494,2114,3182,0
495,2114,7300,0
496,2114,2798,2
497,2114,624,0
498,2114,5176,0
499,2114,380,0
500,2114,6274,1
501,2114,5341,1
502,2114,313,0
503,2114,9529,1
504,2114,2176,2
505,2114,10089,2
506,2114,309,0
507,2114,10264,0
508,2114,1225,0
509,2114,9703,0
510,2114,3762,1
511,2114,9262,0
512,2114,4543,1
513,2114,2926,0
514,2114,3924,0
515,2114,9274,1
516,2114,6963,1
517,2114,4440,0
518,2114,2521,0
519,2114,7381,2
520,2114,9560,1
521,2114,1150,1
522,2114,9707,0
523,2114,8234,0
524,2114,11030,0
525,2114,175,1
526,2114,2061,0
527,2114,7274,0
528,2114,2557,0
529,2114,1245,0
530,2114,1726,0
531,2114,6720,0
532,2114,8318,1
533,2114,2552,0
534,2114,7030,1
535,2114,6504,0
536,2114,5067,2
537,2114,4216,2
538,2114,1361,1
539,2114,6932,1
540,2114,1340,2
541,2114,8746,1
542,2114,3725,2
543,2114,1137,1
544,2114,4947,1
545,2114,3225,0
546,2114,1992,1
547,2114,7059,0
548,2114,7999,1
549,2114,564,0
550,2114,8346,0
551,2114,10965,1
552,2114,6605,0
553,2114,9925,0
554,2114,5389,0
555,2114,6036,1
556,2114,3711,2
557,2114,2532,0
558,2114,4943,1
559,2114,4769,0
560,2114,6931,1
561,2114,5547,1
562,2114,9671,0
563,2114,5371,0
564,2114,8314,1
565,2114,3174,2
566,2114,2574,1
567,2114,5966,0
568,2114,9058,2
569,2114,254,0
570,2114,7627,2
571,2114,988,1
572,2114,10972,1
573,2114,6583,1
574,2114,4376,0
575,2114,701,0
576,2114,2942,0
577,2114,1173,1
578,2114,4611,2
579,2114,4248,0
580,2114,6940,0
581,2114,4673,1
582,2114,8779,0
583,2114,10767,2
584,2114,7230,0
585,2114,1277,1
586,2114,6384,0
587,2114,8029,2
588,2114,6988,1
589,2114,3336,0
590,2114,4301,0
591,2114,3619,1
592,2114,4692,0
593,2114,6086,1
594,2114,11101,1
595,2114,10430,2
596,2114,7875,2
597,2114,5278,1
598,2114,3560,1
599,2114,2281,0
600,2114,4073,0
601,2114,3667,2
602,2114,7573,0
603,2114,6299,0
604,2114,10846,0
605,2114,10446,2
606,2114,3479,0
607,2114,199,0
608,2114,3483,1
609,2114,2350,0
610,2114,9493,2
611,2114,1,0
612,2114,5536,2
613,2114,9499,1
614,2114,5121,0
615,2114,5848,1
616,2114,4856,1
617,2114,7186,0
618,2114,5794,1
619,2114,1031,1
620,2114,10140,0
621,2114,9353,0
622,2114,4789,2
623,2114,8443,0
624,2114,1928,0
625,2114,8800,0
626,2114,10150,1
627,2114,10619,1
628,2114,8362,1
629,2114,4637,1
630,2114,9972,0
631,2114,8931,1
632,2114,2008,1
633,2114,3139,0
634,2114,7922,0
635,2114,1204,1
636,2114,6810,1
637,2114,5386,2
638,2114,3202,1
639,2114,6387,0
640,2114,10489,2
641,2114,2611,1
642,2114,5407,0
643,2114,5718,2
644,2114,4580,2
645,2114,8545,2
646,2114,7378,0
647,2114,8492,1
648,2114,1212,0
649,2114,10473,1
650,2114,7962,2
651,2114,9984,1
652,2114,7453,0
653,2114,241,1
654,2114,8975,0
655,2114,5236,2
656,2114,7010,1
657,2114,3706,0
658,2114,5204,1
659,2114,1020,1
660,2114,6019,0
661,2114,3717,0
662,2114,4998,1
663,2114,966,0
664,2114,4767,1
665,2114,9725,0
666,2114,4491,0
667,2114,3759,0
668,2114,2055,0
669,2114,3005,1
670,2114,6421,1
671,2114,4207,1
672,2114,6072,1
673,2114,1509,2
674,2114,1127,1
675,2114,5538,2
676,2114,146,1
677,2114,4741,0
678,2114,1524,1
679,2114,7451,0
680,2114,4356,1
681,2114,3885,0
682,2114,1175,0
683,2114,3412,0
684,2114,2975,1
685,2114,2894,2
686,2114,749,0
687,2114,10525,0
688,2114,5031,1
689,2114,6218,0
690,2114,193,0
691,2114,10660,0
692,2114,5735,1
693,2114,1829,0
694,2114,9855,1
695,2114,8732,1
696,2114,6606,0
697,2114,234,0
698,2114,1118,0
699,2114,7789,1
700,2114,8955,0
701,2114,5644,0
702,2114,2324,0
703,2114,697,1
704,2114,1627,1
705,2114,938,0
706,2114,4058,0
707,2114,7736,0
708,2114,9757,1
709,2114,4138,0
710,2114,10833,0
711,2114,9606,2
712,2114,8534,0
713,2114,5153,0
714,2114,5493,0
715,2114,2147,2
716,2114,5107,0
717,2114,3979,1
718,2114,6049,1
719,2114,3910,2
720,2114,1740,0
721,2114,195,0
722,2114,10319,0
723,2114,2296,0
724,2114,2931,1
725,2114,3698,1
726,2114,9516,0
727,2114,339,0
728,2114,9010,2
729,2114,5543,0
730,2114,1577,1
731,2114,6024,2
732,2114,6055,0
733,2114,4394,1
734,2114,5758,2
735,2114,9206,1
736,2114,10971,0
737,2114,158,0
738,2114,1945,1
739,2114,2535,2
740,2114,9386,0
741,2114,873,0
742,2114,7793,0
743,2114,2407,1
744,2114,7912,0
745,2114,1384,0
746,2114,10507,0
747,2114,5675,0
748,2114,6770,0
749,2114,8773,0
750,2114,10909,1
751,2114,9121,2
752,2114,4310,1
753,2114,2561,0
754,2114,9349,2
755,2114,922,0
756,2114,4530,1
757,2114,1553,1
758,2114,5221,0
759,2114,10133,2
760,2114,8233,0
761,2114,2945,0
762,2114,7521,1
763,2114,4070,1
764,2114,9559,0
765,2114,5529,1
766,2114,9743,1
767,2114,1763,2
768,2114,2072,0
769,2114,3584,0
770,2114,3643,1
771,2114,7706,0
772,2114,830,2
773,2114,6050,0
774,2114,125,0
775,2114,1079,0
776,2114,7321,1
777,2114,955,0
778,2114,7476,0
779,2114,4261,2
780,2114,5350,1
781,2114,9298,1
782,2114,1626,0
783,2114,2612,1
784,2114,10069,0
785,2114,3409,0
786,2114,5453,1
787,2114,2565,0
788,2114,4656,0
789,2114,9242,0
790,2114,8286,0
791,2114,1665,1
792,2114,7005,0
793,2114,2781,2
794,2114,4127,0
795,2114,8143,1
796,2114,3690,1
797,2114,3433,1
798,2114,1215,1
799,2114,2570,0
800,2114,10742,1
801,2114,1351,1
802,2114,477,2
803,2114,7832,2
804,2114,7396,1
805,2114,3498,0
806,2114,1172,2
807,2114,569,2
808,2114,4686,1
809,2114,4351,0
810,2114,10129,1
811,2114,5796,1
812,2114,10556,1
813,2114,48,0
814,2114,737,2
815,2114,3571,0
816,2114,5092,0
817,2114,5534,0
818,2114,7960,1
819,2114,9905,0
820,2114,8439,1
821,2114,6977,1
822,2114,8397,0
823,2114,1990,0
824,2114,8093,1
825,2114,10513,1
826,2114,5782,0
827,2114,2415,1
828,2114,332,0
829,2114,6906,2
830,2114,7872,2
831,2114,4427,1
832,2114,2886,1
833,2114,9064,1
834,2114,3678,0
835,2114,2186,2
836,2114,1399,1
837,2114,8341,0
838,2114,6461,0
839,2114,5113,0
840,2114,2961,0
841,2114,3010,2
842,2114,6892,1
843,2114,8462,0
844,2114,5558,1
845,2114,10951,0
846,2114,5623,0
847,2114,5544,0
848,2114,5831,1
849,2114,10176,0
850,2114,3138,2
851,2114,4994,1
852,2114,10872,0
853,2114,1139,2
854,2114,10448,0
855,2114,2109,1
856,2114,3009,1
857,2114,8537,1
858,2114,4331,1
859,2114,6281,0
860,2114,4338,0
861,2114,10913,0
862,2114,3334,2
863,2114,10949,1
864,2114,6248,1
865,2114,10164,1
866,2114,6815,2
867,2114,4122,1
868,2114,5370,0
869,2114,405,0
870,2114,500,2
871,2114,9323,0
872,2114,3945,0
873,2114,983,0
874,2114,5628,0
875,2114,10701,2
876,2114,4426,1
877,2114,6343,0
878,2114,7734,2
879,2114,1146,0
880,2114,1103,1
881,2114,3422,0
882,2114,2909,1
883,2114,340,0
884,2114,3104,1
885,2114,1008,0
886,2114,2115,0
887,2114,2088,1
888,2114,6292,1
889,2114,3919,1
890,2114,271,0
891,2114,5136,1
892,2114,9790,1
893,2114,7233,1
894,2114,7699,0
895,2114,5186,0
896,2114,7313,1
897,2114,3520,2
898,2114,10394,2
899,2114,9362,0
900,2114,3968,1
901,2114,2829,1
902,2114,1772,2
903,2114,4377,0
904,2114,8858,0
905,2114,9723,0
906,2114,2666,0
907,2114,5721,1
908,2114,8722,1
909,2114,7118,0
910,2114,10722,0
911,2114,2632,0
912,2114,4333,0
913,2114,7366,1
914,2114,4286,0
915,2114,7004,0
916,2114,4001,1
917,2114,7270,0
918,6565,5899,0
919,6565,2114,1
920,6565,6565,1
921,6565,1993,0
922,6565,1966,0
923,6565,5710,0
924,6565,2968,0
925,6565,2225,1
926,6565,6260,0
927,6565,6853,0
928,6565,9369,1
929,6565,8132,0
930,6565,7503,0
931,6565,1618,0
932,6565,273,0
933,6565,4452,1
934,6565,8504,0
935,6565,7247,0
936,6565,4646,1
937,6565,7431,0
938,6565,3267,0
939,6565,999,0
940,6565,1592,1
941,6565,7215,1
942,6565,1685,0
943,6565,7660,0
944,6565,7987,0
945,6565,10240,0
946,6565,10573,0
947,6565,3712,0
948,6565,641,0
949,6565,10314,1
950,6565,6935,1
951,6565,9733,0
952,6565,9938,0
953,6565,3182,0
954,6565,7300,0
955,6565,2798,1
956,6565,624,0
957,6565,5176,0
958,6565,380,0
959,6565,6274,0
960,6565,5341,0
961,6565,313,0
962,6565,9529,1
963,6565,2176,1
964,6565,10089,1
965,6565,309,0
966,6565,10264,0
967,6565,1225,0
968,6565,9703,0
969,6565,3762,1
970,6565,9262,0
971,6565,4543,0
972,6565,2926,0
973,6565,3924,0
974,6565,9274,1
975,6565,6963,0
976,6565,4440,0
977,6565,2521,0
978,6565,7381,1
979,6565,9560,0
980,6565,1150,0
981,6565,9707,0
982,6565,8234,0
983,6565,11030,0
984,6565,175,0
985,6565,2061,0
986,6565,7274,0
987,6565,2557,0
988,6565,1245,0
989,6565,1726,0
990,6565,6720,0
991,6565,8318,0
992,6565,2552,0
993,6565,7030,1
994,6565,6504,0
995,6565,5067,1
996,6565,4216,1
997,6565,1361,0
998,6565,6932,0
999,6565,1340,1
1000,6565,8746,1
1001,6565,3725,1
1002,6565,1137,1
1003,6565,4947,1
1004,6565,3225,0
1005,6565,1992,1
1006,6565,7059,0
1007,6565,7999,0
1008,6565,564,0
1009,6565,8346,0
1010,6565,10965,1
1011,6565,6605,0
1012,6565,9925,0
1013,6565,5389,0
1014,6565,6036,0
1015,6565,3711,1
1016,6565,2532,0
1017,6565,4943,0
1018,6565,4769,0
1019,6565,6931,0
1020,6565,5547,0
1021,6565,9671,0
1022,6565,5371,0
1023,6565,8314,0
1024,6565,3174,1
1025,6565,2574,1
1026,6565,5966,0
1027,6565,9058,1
1028,6565,254,0
1029,6565,7627,1
1030,6565,988,1
1031,6565,10972,0
1032,6565,6583,1
1033,6565,4376,0
1034,6565,701,0
1035,6565,2942,0
1036,6565,1173,0
1037,6565,4611,1
1038,6565,4248,0
1039,6565,6940,0
1040,6565,4673,1
1041,6565,8779,0
1042,6565,10767,1
1043,6565,7230,0
1044,6565,1277,1
1045,6565,6384,0
1046,6565,8029,1
1047,6565,6988,0
1048,6565,3336,0
1049,6565,4301,0
1050,6565,3619,0
1051,6565,4692,0
1052,6565,6086,1
1053,6565,11101,0
1054,6565,10430,1
1055,6565,7875,1
1056,6565,5278,1
1057,6565,3560,0
1058,6565,2281,0
1059,6565,4073,0
1060,6565,3667,1
1061,6565,7573,0
1062,6565,6299,0
1063,6565,10846,0
1064,6565,10446,1
1065,6565,3479,0
1066,6565,199,0
1067,6565,3483,1
1068,6565,2350,0
1069,6565,9493,1
1070,6565,1,0
1071,6565,5536,1
1072,6565,9499,0
1073,6565,5121,0
1074,6565,5848,0
1075,6565,4856,1
1076,6565,7186,0
1077,6565,5794,1
1078,6565,1031,0
1079,6565,10140,0
1080,6565,9353,0
1081,6565,4789,1
1082,6565,8443,0
1083,6565,1928,0
1084,6565,8800,0
1085,6565,10150,1
1086,6565,10619,0
1087,6565,8362,0
1088,6565,4637,1
1089,6565,9972,0
1090,6565,8931,1
1091,6565,2008,1
1092,6565,3139,0
1093,6565,7922,0
1094,6565,1204,1
1095,6565,6810,0
1096,6565,5386,1
1097,6565,3202,0
1098,6565,6387,0
1099,6565,10489,1
1100,6565,2611,0
1101,6565,5407,0
1102,6565,5718,1
1103,6565,4580,1
1104,6565,8545,1
1105,6565,7378,0
1106,6565,8492,1
1107,6565,1212,0
1108,6565,10473,0
1109,6565,7962,1
1110,6565,9984,1
1111,6565,7453,0
1112,6565,241,0
1113,6565,8975,0
1114,6565,5236,1
1115,6565,7010,0
1116,6565,3706,0
1117,6565,5204,0
1118,6565,1020,0
1119,6565,6019,0
1120,6565,3717,0
1121,6565,4998,1
1122,6565,966,0
1123,6565,4767,0
1124,6565,9725,0
1125,6565,4491,0
1126,6565,3759,0
1127,6565,2055,0
1128,6565,3005,1
1129,6565,6421,1
1130,6565,4207,0
1131,6565,6072,1
1132,6565,1509,1
1133,6565,1127,0
1134,6565,5538,1
1135,6565,146,1
1136,6565,4741,0
1137,6565,1524,1
1138,6565,7451,0
1139,6565,4356,0
1140,6565,3885,0
1141,6565,1175,0
1142,6565,3412,0
1143,6565,2975,1
1144,6565,2894,1
1145,6565,749,0
1146,6565,10525,0
1147,6565,5031,0
1148,6565,6218,0
1149,6565,193,0
1150,6565,10660,0
1151,6565,5735,0
1152,6565,1829,0
1153,6565,9855,1
1154,6565,8732,0
1155,6565,6606,0
1156,6565,234,0
1157,6565,1118,0
1158,6565,7789,0
1159,6565,8955,0
1160,6565,5644,0
1161,6565,2324,0
1162,6565,697,0
1163,6565,1627,1
1164,6565,938,0
1165,6565,4058,0
1166,6565,7736,0
1167,6565,9757,0
1168,6565,4138,0
1169,6565,10833,0
1170,6565,9606,1
1171,6565,8534,0
1172,6565,5153,0
1173,6565,5493,0
1174,6565,2147,1
1175,6565,5107,0
1176,6565,3979,0
1177,6565,6049,1
1178,6565,3910,1
1179,6565,1740,0
1180,6565,195,0
1181,6565,10319,0
1182,6565,2296,0
1183,6565,2931,1
1184,6565,3698,0
1185,6565,9516,0
1186,6565,339,0
1187,6565,9010,1
1188,6565,5543,0
1189,6565,1577,0
1190,6565,6024,1
1191,6565,6055,0
1192,6565,4394,0
1193,6565,5758,1
1194,6565,9206,0
1195,6565,10971,0
1196,6565,158,0
1197,6565,1945,1
1198,6565,2535,1
1199,6565,9386,0
1200,6565,873,0
1201,6565,7793,0
1202,6565,2407,0
1203,6565,7912,0
1204,6565,1384,0
1205,6565,10507,0
1206,6565,5675,0
1207,6565,6770,0
1208,6565,8773,0
1209,6565,10909,0
1210,6565,9121,1
1211,6565,4310,1
1212,6565,2561,0
1213,6565,9349,1
1214,6565,922,0
1215,6565,4530,1
1216,6565,1553,1
1217,6565,5221,0
1218,6565,10133,1
1219,6565,8233,0
1220,6565,2945,0
1221,6565,7521,0
1222,6565,4070,0
1223,6565,9559,0
1224,6565,5529,1
1225,6565,9743,0
1226,6565,1763,1
1227,6565,2072,0
1228,6565,3584,0
1229,6565,3643,0
1230,6565,7706,0
1231,6565,830,1
1232,6565,6050,0
1233,6565,125,0
1234,6565,1079,0
1235,6565,7321,1
1236,6565,955,0
1237,6565,7476,0
1238,6565,4261,1
1239,6565,5350,0
1240,6565,9298,0
1241,6565,1626,0
1242,6565,2612,1
1243,6565,10069,0
1244,6565,3409,0
1245,6565,5453,1
1246,6565,2565,0
1247,6565,4656,0
1248,6565,9242,0
1249,6565,8286,0
1250,6565,1665,0
1251,6565,7005,0
1252,6565,2781,1
1253,6565,4127,0
1254,6565,8143,1
1255,6565,3690,0
1256,6565,3433,1
1257,6565,1215,1
1258,6565,2570,0
1259,6565,10742,0
1260,6565,1351,0
1261,6565,477,1
1262,6565,7832,1
1263,6565,7396,0
1264,6565,3498,0
1265,6565,1172,1
1266,6565,569,1
1267,6565,4686,0
1268,6565,4351,0
1269,6565,10129,0
1270,6565,5796,0
1271,6565,10556,1
1272,6565,48,0
1273,6565,737,1
1274,6565,3571,0
1275,6565,5092,0
1276,6565,5534,0
1277,6565,7960,0
1278,6565,9905,0
1279,6565,8439,1
1280,6565,6977,0
1281,6565,8397,0
1282,6565,1990,0
1283,6565,8093,1
1284,6565,10513,1
1285,6565,5782,0
1286,6565,2415,1
1287,6565,332,0
1288,6565,6906,1
1289,6565,7872,1
1290,6565,4427,0
1291,6565,2886,1
1292,6565,9064,0
1293,6565,3678,0
1294,6565,2186,1
1295,6565,1399,1
1296,6565,8341,0
1297,6565,6461,0
1298,6565,5113,0
1299,6565,2961,0
1300,6565,3010,1
1301,6565,6892,1
1302,6565,8462,0
1303,6565,5558,0
1304,6565,10951,0
1305,6565,5623,0
1306,6565,5544,0
1307,6565,5831,1
1308,6565,10176,0
1309,6565,3138,1
1310,6565,4994,0
1311,6565,10872,0
1312,6565,1139,1
1313,6565,10448,0
1314,6565,2109,0
1315,6565,3009,0
1316,6565,8537,1
1317,6565,4331,0
1318,6565,6281,0
1319,6565,4338,0
1320,6565,10913,0
1321,6565,3334,1
1322,6565,10949,1
1323,6565,6248,0
1324,6565,10164,0
1325,6565,6815,1
1326,6565,4122,1
1327,6565,5370,0
1328,6565,405,0
1329,6565,500,1
1330,6565,9323,0
1331,6565,3945,0
1332,6565,983,0
1333,6565,5628,0
1334,6565,10701,1
1335,6565,4426,1
1336,6565,6343,0
1337,6565,7734,1
1338,6565,1146,0
1339,6565,1103,0
1340,6565,3422,0
1341,6565,2909,0
1342,6565,340,0
1343,6565,3104,0
1344,6565,1008,0
1345,6565,2115,0
1346,6565,2088,0
1347,6565,6292,0
1348,6565,3919,1
1349,6565,271,0
1350,6565,5136,0
1351,6565,9790,0
1352,6565,7233,1
1353,6565,7699,0
1354,6565,5186,0
1355,6565,7313,1
1356,6565,3520,1
1357,6565,10394,1
1358,6565,9362,0
1359,6565,3968,0
1360,6565,2829,1
1361,6565,1772,1
1362,6565,4377,0
1363,6565,8858,0
1364,6565,9723,0
1365,6565,2666,0
1366,6565,5721,0
1367,6565,8722,1
1368,6565,7118,0
1369,6565,10722,0
1370,6565,2632,0
1371,6565,4333,0
