,ID,Year_Birth,Education,Marital_Status,Income,Children,Dt_Customer_Year,Dt_Customer_Month,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,AcceptedCmp
28,10573,1953,1.0,0.0,62551.0,0,2013,11,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0,0,Cmp3
29,3712,1959,1.0,0.0,52332.0,0,2013,8,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0,0,Cmp4
30,641,1967,1.0,0.0,52074.0,1,2014,4,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0,0,Cmp3
31,10314,1948,3.0,2.0,83837.0,0,2012,12,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,0,1,"Cmp1, Cmp4"
32,6935,1951,2.0,2.0,78497.0,0,2013,12,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,Cmp1
33,9733,1978,0.0,1.0,24882.0,1,2012,9,52,1,4,10,29,0,36,1,1,1,2,6,0,0,1,0,0,0,0,Cmp3
34,9938,1954,1.0,2.0,80067.0,0,2013,9,82,519,17,813,27,173,51,1,4,6,6,2,0,0,0,0,1,0,0,Cmp5
35,3182,1973,3.0,0.0,46854.0,2,2014,3,81,96,1,79,7,1,79,6,5,1,3,8,0,0,1,0,0,0,1,Cmp3
36,7300,1952,1.0,0.0,69142.0,1,2014,6,50,448,4,34,6,4,39,3,8,1,7,5,0,0,0,1,0,0,0,Cmp4
37,2798,1977,3.0,1.0,102160.0,0,2012,11,54,763,29,138,76,176,58,0,7,9,10,4,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
38,624,1984,2.0,0.0,18890.0,0,2012,11,5,6,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,0,1,Cmp3
39,5176,1988,1.0,1.0,29604.0,1,2013,12,88,7,6,13,7,6,14,1,1,0,3,9,0,0,1,0,0,0,0,Cmp3
40,380,1954,1.0,0.0,64497.0,1,2012,9,17,1170,48,320,42,32,192,5,11,4,9,8,0,0,1,0,0,0,1,Cmp3
41,6274,1948,2.0,2.0,83790.0,0,2013,11,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,0,1,1,0,0,"Cmp4, Cmp5"
42,5341,1962,2.0,0.0,81975.0,1,2013,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,0,0,1,0,0,Cmp5
43,313,1968,1.0,0.0,73455.0,0,2013,10,98,901,61,757,186,163,20,1,6,5,10,3,0,0,0,1,0,0,0,Cmp4
44,9529,1990,1.0,2.0,73687.0,0,2013,11,8,559,153,503,218,13,181,1,3,9,9,2,1,0,0,0,0,0,1,Cmp1
45,2176,1972,1.0,2.0,80134.0,1,2013,5,40,1218,16,272,104,0,80,2,5,3,6,6,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
46,10089,1974,1.0,0.0,102692.0,0,2013,4,5,168,148,444,32,172,148,1,6,9,13,2,1,1,0,1,1,0,1,"Cmp1, Cmp2, Cmp4, Cmp5"
47,309,1961,3.0,1.0,63342.0,1,2012,10,48,918,21,118,13,10,21,3,8,3,5,6,0,0,0,1,0,0,0,Cmp4
48,10264,1979,1.0,0.0,15287.0,1,2012,10,60,1,2,8,4,3,13,2,1,1,2,7,0,0,1,0,0,0,1,Cmp3
49,1225,1963,1.0,2.0,80124.0,0,2014,6,47,483,84,398,205,84,241,1,3,7,8,1,0,0,1,0,0,0,0,Cmp3
50,9703,1970,3.0,2.0,38097.0,2,2012,10,70,77,2,35,0,1,69,4,3,2,2,7,0,0,1,0,0,0,1,Cmp3
51,3762,1986,3.0,0.0,69867.0,0,2013,4,30,196,0,512,33,130,54,1,3,5,8,1,1,0,0,0,0,0,1,Cmp1
52,9262,1984,2.0,1.0,32414.0,0,2013,7,11,20,6,5,0,9,12,1,1,0,3,7,0,0,1,0,0,0,0,Cmp3
53,4543,1980,1.0,2.0,82497.0,0,2012,10,32,777,129,573,216,21,203,1,2,7,9,4,0,0,0,0,1,0,0,Cmp5
54,2926,1952,2.0,1.0,55951.0,1,2012,8,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,1,0,0,0,"Cmp2, Cmp4"
55,3924,1965,3.0,0.0,57912.0,1,2014,3,34,801,0,80,0,0,35,5,8,3,12,5,0,0,0,1,0,0,0,Cmp4
56,9274,1961,2.0,2.0,80950.0,0,2013,3,44,525,147,112,219,147,63,1,6,7,9,2,1,0,0,0,0,0,0,Cmp1
57,6963,1947,1.0,0.0,77457.0,0,2014,3,85,675,11,400,15,45,11,1,2,5,10,1,0,0,0,0,1,0,0,Cmp5
58,4440,1964,2.0,2.0,64100.0,1,2013,9,93,509,0,27,0,0,10,1,8,3,6,7,0,0,0,1,0,0,0,Cmp4
59,2521,1971,2.0,2.0,35178.0,1,2013,1,10,23,1,13,2,2,18,1,1,1,2,7,0,0,1,0,0,0,1,Cmp3
60,7381,1968,1.0,0.0,75693.0,0,2012,12,10,797,153,293,72,97,30,1,11,4,6,4,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
61,9560,1965,1.0,1.0,83003.0,0,2013,3,18,856,61,570,40,25,122,1,7,6,8,3,0,0,0,0,1,0,1,Cmp5
62,1150,1899,3.0,1.0,83532.0,0,2013,9,36,755,144,562,104,64,224,1,4,6,4,1,0,0,0,0,1,0,0,Cmp5
63,9707,1969,3.0,2.0,55212.0,1,2012,11,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,1,0,0,0,"Cmp2, Cmp4"
64,8234,1973,0.0,1.0,27190.0,1,2013,8,13,1,6,7,0,1,3,1,1,0,2,8,0,0,1,0,0,0,1,Cmp3
65,11030,1976,2.0,2.0,33181.0,1,2014,1,90,9,0,3,0,0,4,1,1,0,2,6,0,0,1,0,0,0,0,Cmp3
66,175,1986,1.0,2.0,71952.0,1,2013,1,93,656,80,455,52,107,93,2,8,4,8,4,0,0,1,0,1,0,0,"Cmp3, Cmp5"
67,2061,1955,1.0,2.0,50737.0,1,2013,5,61,78,0,11,0,0,10,1,2,0,4,6,0,0,0,1,0,0,0,Cmp4
68,7274,1957,1.0,2.0,78618.0,0,2012,9,87,736,163,818,212,163,61,1,4,7,10,2,0,0,0,1,0,0,0,Cmp4
69,2557,1970,2.0,0.0,29548.0,1,2013,8,52,7,1,6,3,1,11,1,1,1,2,4,0,0,1,0,0,0,0,Cmp3
70,1245,1966,1.0,0.0,63810.0,1,2012,11,45,977,12,253,16,12,101,4,4,3,12,8,0,0,0,1,0,0,0,Cmp4
71,1726,1970,1.0,0.0,22585.0,0,2013,3,23,3,9,15,13,2,39,1,1,1,2,9,0,0,1,0,0,0,1,Cmp3
72,6720,1968,2.0,1.0,43795.0,1,2013,10,11,314,11,53,4,3,107,3,7,3,4,7,0,0,0,1,0,0,1,Cmp4
73,8318,1979,1.0,1.0,90300.0,0,2014,1,7,594,134,786,33,134,57,0,5,6,8,1,0,0,0,0,1,0,0,Cmp5
74,2552,1955,3.0,0.0,55521.0,3,2013,10,11,416,0,26,0,0,4,9,6,3,6,7,0,0,0,1,0,0,1,Cmp4
75,7030,1955,3.0,2.0,66465.0,1,2013,3,1,1200,0,204,38,29,14,3,11,9,12,6,1,0,0,0,0,0,0,Cmp1
76,6504,1975,2.0,1.0,19789.0,1,2013,11,24,2,5,9,28,6,28,3,2,1,3,5,0,0,1,0,0,0,0,Cmp3
77,5067,1994,1.0,1.0,80134.0,0,2014,2,11,966,26,282,52,26,26,1,2,7,11,5,1,1,0,1,1,0,0,"Cmp1, Cmp2, Cmp4, Cmp5"
78,4216,1981,1.0,0.0,91065.0,0,2013,2,33,822,114,108,179,137,114,1,7,9,9,3,1,0,0,0,1,0,1,"Cmp1, Cmp5"
79,1361,1974,2.0,2.0,82584.0,0,2013,6,26,1076,68,103,29,91,68,1,3,4,8,1,0,0,0,1,1,0,1,"Cmp4, Cmp5"
80,6932,1941,3.0,2.0,93027.0,0,2013,4,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,0,0,1,0,0,Cmp5
81,1340,1986,1.0,2.0,92910.0,0,2014,4,42,551,137,792,179,103,33,1,6,7,13,1,1,0,0,1,1,0,0,"Cmp1, Cmp4, Cmp5"
82,8746,1989,1.0,2.0,75433.0,1,2014,4,28,800,0,297,0,34,57,2,2,5,10,6,1,0,0,1,0,0,0,"Cmp1, Cmp4"
83,3725,1961,3.0,0.0,84865.0,0,2013,5,1,1248,16,349,43,16,16,1,2,4,9,4,1,1,0,1,1,0,1,"Cmp1, Cmp2, Cmp4, Cmp5"
84,1137,1964,1.0,0.0,81246.0,0,2013,12,87,398,190,537,61,156,37,1,4,5,7,1,1,0,1,0,0,0,0,"Cmp1, Cmp3"
85,4947,1966,2.0,0.0,89572.0,0,2012,9,44,606,24,974,197,194,64,1,7,7,9,4,1,0,0,1,0,0,1,"Cmp1, Cmp4"
86,3225,1984,2.0,2.0,42207.0,1,2013,4,71,116,11,72,3,17,46,4,4,1,5,6,0,0,1,0,0,0,1,Cmp3
87,1992,1964,1.0,2.0,60597.0,1,2014,1,2,522,0,257,32,16,66,4,2,2,8,7,1,0,0,0,0,0,1,Cmp1
88,7059,1963,1.0,2.0,80124.0,0,2014,6,47,483,84,398,205,84,241,1,3,7,8,1,0,0,1,0,0,0,0,Cmp3
89,7999,1955,3.0,1.0,75261.0,0,2013,4,17,1239,17,413,23,34,17,1,5,6,5,2,0,0,0,1,1,0,1,"Cmp4, Cmp5"
90,564,1981,3.0,1.0,56937.0,1,2012,8,81,746,8,125,11,8,8,7,8,6,9,6,0,0,0,1,0,0,1,Cmp4
91,8346,1974,1.0,0.0,32233.0,1,2012,8,26,138,15,35,25,11,72,2,6,2,2,9,0,0,1,0,0,0,1,Cmp3
92,10965,1955,1.0,1.0,76005.0,0,2013,2,72,983,20,389,240,50,40,1,3,5,13,6,1,0,0,0,0,0,0,Cmp1
93,6605,1944,3.0,0.0,55614.0,0,2013,11,85,504,13,131,8,0,26,1,9,4,6,7,0,0,0,1,0,0,0,Cmp4
94,9925,1981,3.0,1.0,39665.0,1,2013,5,97,127,1,56,0,1,31,3,4,2,3,7,0,0,1,0,0,0,0,Cmp3
95,5389,1964,1.0,2.0,48920.0,2,2013,10,93,238,17,68,8,10,6,3,6,2,5,7,0,0,0,1,0,0,0,Cmp4
96,6036,1959,2.0,1.0,89120.0,0,2014,3,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,0,0,1,0,0,Cmp5
97,3711,1944,2.0,2.0,80184.0,0,2014,3,19,1035,134,670,25,38,0,1,6,3,10,3,1,0,0,0,1,0,0,"Cmp1, Cmp5"
98,2532,1987,2.0,0.0,73454.0,0,2014,3,95,982,73,351,56,14,175,1,2,4,6,5,0,0,1,0,0,0,0,Cmp3
99,4943,1953,1.0,2.0,70503.0,0,2012,9,73,1379,33,216,0,33,66,1,2,4,9,6,0,0,0,1,1,0,0,"Cmp4, Cmp5"
100,4769,1977,2.0,1.0,57954.0,2,2014,6,52,456,4,24,0,0,9,7,8,2,6,7,0,0,0,1,0,0,0,Cmp4
101,6931,1967,1.0,0.0,76982.0,0,2014,2,19,464,151,292,65,60,30,1,8,3,4,4,0,0,0,0,1,0,1,Cmp5
102,5547,1982,3.0,2.0,84169.0,0,2013,8,9,1478,19,403,0,19,0,1,7,6,6,3,0,0,0,1,1,0,1,"Cmp4, Cmp5"
103,9671,1968,1.0,2.0,19514.0,2,2014,1,47,14,3,21,2,1,28,4,3,1,2,8,0,0,1,0,0,0,1,Cmp3
104,5371,1989,1.0,0.0,21474.0,1,2014,4,0,6,16,24,11,0,34,2,3,1,2,7,0,0,1,0,0,0,1,Cmp3
105,8314,1982,1.0,2.0,79908.0,0,2013,4,30,557,129,761,29,185,111,1,5,6,7,2,0,0,0,0,1,0,0,Cmp5
106,3174,1959,1.0,1.0,87771.0,1,2013,5,61,1492,38,287,50,57,33,1,5,10,4,6,1,1,0,1,1,0,1,"Cmp1, Cmp2, Cmp4, Cmp5"
107,2574,1977,3.0,2.0,61996.0,1,2013,1,27,1050,12,144,0,0,24,3,6,4,8,5,1,1,0,1,0,0,1,"Cmp1, Cmp2, Cmp4"
108,5966,1974,3.0,2.0,45207.0,2,2012,11,64,203,0,10,0,0,2,5,3,1,6,6,0,0,0,1,0,0,0,Cmp4
109,9058,1955,1.0,0.0,79800.0,0,2012,9,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,0,1,0,1,"Cmp1, Cmp3, Cmp5"
110,254,1955,1.0,1.0,53863.0,1,2014,5,4,399,4,30,6,4,30,3,7,1,7,7,0,0,0,1,0,0,0,Cmp4
111,7627,1975,2.0,2.0,92163.0,0,2012,12,25,817,183,797,106,163,20,0,5,11,5,2,1,0,0,0,1,0,1,"Cmp1, Cmp5"
112,988,1965,1.0,2.0,81168.0,0,2014,5,84,410,0,592,147,22,22,1,6,4,7,3,1,0,0,0,0,0,0,Cmp1
113,10972,1949,1.0,0.0,72298.0,0,2014,3,52,625,35,169,58,17,35,1,4,3,6,1,0,0,0,1,1,0,0,"Cmp4, Cmp5"
114,6583,1955,2.0,2.0,72635.0,0,2013,6,54,390,22,323,104,35,107,1,6,8,6,3,1,0,0,0,0,0,0,Cmp1
115,4376,1960,2.0,0.0,32218.0,0,2014,2,27,10,24,15,13,1,30,1,2,1,3,7,0,0,1,0,0,0,1,Cmp3
116,701,1971,1.0,2.0,73691.0,1,2013,11,58,707,21,250,85,43,73,2,6,2,8,2,0,0,1,0,0,0,0,Cmp3
117,2942,1964,1.0,0.0,45906.0,1,2013,5,20,305,3,27,4,3,144,2,5,4,4,5,0,0,1,0,0,0,0,Cmp3
118,1173,1947,2.0,1.0,77632.0,0,2013,3,73,1200,105,758,0,42,147,1,4,2,6,2,0,0,0,1,1,0,1,"Cmp4, Cmp5"
119,4611,1970,1.0,1.0,105471.0,0,2013,1,36,1009,181,104,202,21,207,0,9,8,13,3,1,0,0,0,1,0,1,"Cmp1, Cmp5"
120,4248,1960,2.0,0.0,98777.0,0,2014,2,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,0,1,0,0,0,Cmp4
121,6940,1966,3.0,0.0,46734.0,3,2013,10,86,100,1,39,6,1,76,4,3,2,3,6,0,0,1,0,0,0,0,Cmp3
122,4673,1963,3.0,2.0,81300.0,1,2012,10,17,1004,12,145,32,12,36,3,10,3,5,5,1,0,0,0,0,0,1,Cmp1
123,8779,1985,2.0,2.0,36145.0,1,2013,6,13,56,4,76,17,1,18,4,4,1,3,9,0,0,1,0,0,0,1,Cmp3
124,10767,1989,3.0,1.0,77845.0,0,2014,5,40,760,40,480,0,40,26,1,3,5,12,1,1,0,0,0,1,0,0,"Cmp1, Cmp5"
125,7230,1960,3.0,0.0,50611.0,1,2012,10,98,459,0,24,6,0,4,6,4,5,7,6,0,0,0,1,0,0,1,Cmp4
126,1277,1960,1.0,1.0,78468.0,0,2014,4,29,434,22,388,104,22,34,1,10,7,10,4,1,0,0,0,0,0,0,Cmp1
127,6384,1978,1.0,0.0,71022.0,1,2014,2,30,909,12,278,0,12,242,3,5,2,11,8,0,0,1,0,0,0,0,Cmp3
128,8029,1988,2.0,0.0,90247.0,0,2014,4,27,1184,32,352,21,16,16,1,3,4,7,1,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
129,6988,1986,1.0,2.0,71952.0,1,2013,1,93,656,80,455,52,107,93,2,8,4,8,4,0,0,1,0,1,0,0,"Cmp3, Cmp5"
130,3336,1948,3.0,1.0,66375.0,1,2013,11,96,712,0,45,0,0,191,3,2,4,5,7,0,0,1,0,0,0,0,Cmp3
131,4301,1971,2.0,2.0,35178.0,1,2013,1,10,23,1,13,2,2,18,1,1,1,2,7,0,0,1,0,0,0,1,Cmp3
132,3619,1960,2.0,0.0,87305.0,0,2012,9,19,345,25,501,63,138,80,1,5,3,8,2,0,0,0,0,1,0,1,Cmp5
133,4692,1976,1.0,2.0,7500.0,1,2012,8,19,7,0,12,13,7,32,5,4,1,2,9,0,0,1,0,0,0,1,Cmp3
134,6086,1955,1.0,2.0,80395.0,0,2013,11,62,445,25,706,80,76,48,1,6,5,12,2,1,0,0,0,0,0,0,Cmp1
135,11101,1991,1.0,1.0,89891.0,0,2013,4,17,412,22,132,59,28,183,1,11,6,8,4,0,0,0,0,1,0,0,Cmp5
136,10430,1973,1.0,0.0,89694.0,2,2013,10,22,1126,28,211,37,28,42,3,4,3,4,5,1,0,0,1,1,0,0,"Cmp1, Cmp4, Cmp5"
137,7875,1949,1.0,2.0,72025.0,0,2014,4,46,967,0,617,43,50,0,1,4,8,13,2,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
138,5278,1964,1.0,2.0,82224.0,0,2014,1,83,307,26,360,138,31,40,1,6,9,5,3,1,0,0,0,0,0,0,Cmp1
139,3560,1952,1.0,1.0,83844.0,0,2013,5,57,901,31,345,75,31,191,1,4,4,11,1,0,0,0,0,1,0,0,Cmp5
140,2281,1970,1.0,0.0,33697.0,1,2013,9,34,4,3,7,0,3,11,1,1,0,2,7,0,0,1,0,0,0,0,Cmp3
141,4073,1954,2.0,2.0,63564.0,0,2014,1,0,769,80,252,15,34,65,1,10,10,7,6,0,0,1,0,0,0,1,Cmp3
142,3667,1969,1.0,2.0,80952.0,0,2013,2,20,778,178,689,41,27,44,1,8,5,11,8,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
143,7573,1978,3.0,0.0,31626.0,1,2013,5,12,39,1,9,2,1,34,1,2,1,2,7,0,0,1,0,0,0,1,Cmp3
144,6299,1968,3.0,0.0,42564.0,1,2013,1,28,324,48,186,39,18,198,6,6,8,4,7,0,0,1,0,0,0,1,Cmp3
145,10846,1978,2.0,2.0,43783.0,1,2014,5,22,327,9,125,25,4,139,6,7,1,8,7,0,0,1,0,0,0,0,Cmp3
146,10446,1957,3.0,2.0,82017.0,0,2012,11,58,184,23,446,30,23,23,1,5,4,7,2,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
147,3479,1950,1.0,0.0,16813.0,0,2013,7,49,4,8,11,12,2,13,1,2,0,3,7,0,0,1,0,0,0,0,Cmp3
148,199,1962,2.0,0.0,45183.0,0,2013,1,33,219,3,60,12,9,12,1,4,1,7,7,0,0,0,1,0,0,0,Cmp4
149,3483,1958,1.0,2.0,48192.0,0,2013,4,76,1039,43,204,153,58,29,3,2,8,12,8,1,1,0,1,0,0,1,"Cmp1, Cmp2, Cmp4"
150,2350,1972,1.0,2.0,59666.0,2,2013,3,87,623,53,178,23,17,133,7,3,2,8,8,0,0,0,1,0,0,0,Cmp4
151,9493,1980,3.0,0.0,76412.0,0,2013,5,15,840,53,804,23,71,17,1,5,4,8,3,1,0,0,0,1,0,1,"Cmp1, Cmp5"
152,1,1961,1.0,0.0,57091.0,0,2014,6,0,464,5,64,7,0,37,1,7,3,7,5,0,1,0,0,0,0,1,Cmp2
153,5536,1959,1.0,1.0,87771.0,1,2013,5,61,1492,38,287,50,57,33,1,5,10,4,6,1,1,0,1,1,0,1,"Cmp1, Cmp2, Cmp4, Cmp5"
154,9499,1954,1.0,2.0,93404.0,3,2013,5,97,1279,15,287,20,0,15,3,3,4,7,5,0,0,0,1,1,0,0,"Cmp4, Cmp5"
155,5121,1977,1.0,0.0,56628.0,1,2014,3,30,479,5,82,7,17,171,2,7,6,5,5,0,0,1,0,0,0,0,Cmp3
156,5848,1970,1.0,1.0,81205.0,0,2014,1,43,724,74,929,97,55,130,1,5,6,7,2,0,1,1,0,1,0,1,"Cmp2, Cmp3, Cmp5"
157,4856,1957,2.0,2.0,82347.0,0,2012,11,38,556,54,845,202,133,63,1,7,7,10,3,1,0,1,0,0,0,0,"Cmp1, Cmp3"
158,7186,1966,3.0,1.0,30843.0,2,2014,5,43,24,0,2,0,0,9,2,1,1,2,5,0,0,1,0,0,0,0,Cmp3
159,5794,1974,3.0,2.0,46374.0,1,2014,3,1,408,0,21,0,0,17,3,7,1,7,8,1,0,0,1,0,0,1,"Cmp1, Cmp4"
160,1031,1989,2.0,2.0,85710.0,0,2013,5,5,600,20,350,29,30,33,1,6,9,10,2,0,0,0,0,1,0,0,Cmp5
161,10140,1983,3.0,1.0,70123.0,0,2013,9,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,1,0,0,0,"Cmp2, Cmp4"
162,9353,1959,1.0,0.0,62450.0,1,2014,1,61,515,47,267,62,66,38,2,5,5,4,3,0,0,0,1,0,0,0,Cmp4
163,4789,1953,1.0,1.0,80812.0,0,2013,9,95,769,22,500,210,143,33,1,4,8,5,2,1,0,1,0,1,0,0,"Cmp1, Cmp3, Cmp5"
164,8443,1972,1.0,0.0,24762.0,1,2014,2,16,6,10,12,3,15,40,3,3,1,2,8,0,0,1,0,0,0,1,Cmp3
165,1928,1973,1.0,2.0,31814.0,1,2013,2,73,35,3,20,4,1,20,2,2,0,3,9,0,0,1,0,0,0,0,Cmp3
166,8800,1943,3.0,0.0,48948.0,0,2013,2,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1,Cmp3
167,10150,1961,1.0,0.0,86429.0,0,2013,11,10,464,28,873,29,18,37,0,7,4,7,2,1,0,0,0,0,0,1,Cmp1
168,10619,1994,1.0,0.0,95529.0,0,2012,12,29,770,29,890,250,27,24,1,7,3,7,3,0,0,0,0,1,0,1,Cmp5
169,8362,1982,3.0,2.0,84169.0,0,2013,8,9,1478,19,403,0,19,0,1,7,6,6,3,0,0,0,1,1,0,1,"Cmp4, Cmp5"
170,4637,1954,3.0,0.0,74637.0,0,2013,5,73,960,64,464,146,0,16,1,6,9,9,3,1,0,0,0,0,0,0,Cmp1
171,9972,1955,3.0,1.0,46015.0,2,2014,4,25,38,0,2,0,0,6,1,1,0,3,7,0,1,1,0,0,0,0,"Cmp2, Cmp3"
172,8931,1986,1.0,1.0,83033.0,1,2014,5,82,812,99,431,237,149,33,1,11,4,10,5,1,0,0,0,0,0,0,Cmp1
173,2008,1978,1.0,2.0,77583.0,0,2014,2,93,372,23,384,250,12,108,1,4,5,9,2,1,0,0,0,0,0,0,Cmp1
174,3139,1982,2.0,0.0,74116.0,0,2013,12,53,871,111,704,145,55,166,1,4,4,10,2,0,0,0,1,0,0,0,Cmp4
175,7922,1951,3.0,0.0,64950.0,1,2012,8,29,819,0,72,12,0,63,2,11,2,10,7,0,0,0,1,0,0,0,Cmp4
176,1204,1970,3.0,2.0,67536.0,1,2013,5,45,1253,0,447,23,71,35,3,11,5,11,8,1,0,0,0,0,0,0,Cmp1
177,6810,1983,1.0,0.0,82025.0,0,2013,5,76,267,98,606,48,70,98,1,3,2,6,1,0,0,0,0,1,0,1,Cmp5
178,5386,1953,1.0,1.0,94384.0,0,2013,3,62,1111,24,790,160,45,172,0,5,8,5,2,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
